西暦,１．農林水産業,２．鉱　　　業,３．製　造　業,４．電気・ガス・水道・廃棄物処理業,５．建　設　業,６．卸売・小売業,７．運輸・郵便業,８．宿泊・飲食サービス業,９．情報通信業,１０．金融・保険業,１１．不動産業,１２．専門・科学技術、業務支援サービス業,１３．公　　　務,１４．教　　　育,１５．保健衛生・社会事業,１６．その他のサービス
1994,9.7391,0.8362,117.79169999999999,14.9276,40.493199999999995,68.4813,27.015099999999997,15.5426,15.3919,26.3062,49.4511,24.1023,23.979200000000002,17.8975,20.9037,27.0627
1995,8.6622,0.8344,120.2963,15.4687,39.7902,70.7175,28.211599999999997,15.7659,16.414,25.477400000000003,50.5373,24.659,24.7819,18.4099,22.3328,26.573
1996,8.9122,0.8334,123.2512,15.8339,41.482800000000005,71.0375,26.774099999999997,16.2596,18.973,27.1982,51.5945,26.327599999999997,25.4757,18.7814,23.7111,26.5529
1997,8.318299999999999,0.7782,125.1068,16.739,39.5727,73.5656,26.8365,17.1018,20.8068,27.3948,52.6315,27.4709,26.3741,19.1282,24.772599999999997,26.8499
1998,8.617700000000001,0.7148,120.8858,17.220599999999997,38.2677,71.10910000000001,26.0439,17.2095,22.614099999999997,25.943099999999998,52.843,28.4908,26.7563,19.2248,25.6917,26.772599999999997
1999,8.317200000000001,0.6247,116.77260000000001,17.2528,37.040099999999995,70.5151,25.6247,17.108700000000002,23.1782,25.3755,53.3008,27.9644,26.7156,19.1218,26.4023,26.3647
2000,8.0902,0.6109,118.8154,16.8981,36.215300000000006,68.83030000000001,25.642599999999998,16.5797,24.2357,25.6365,54.1381,30.2908,27.3138,19.0029,27.874,27.3525
2001,7.2311000000000005,0.6039,111.1584,17.2441,34.5365,69.56219999999999,25.6828,16.2553,25.1907,28.0278,53.6715,30.5517,27.4037,19.047900000000002,28.5785,25.89
2002,7.1831000000000005,0.5235,107.75710000000001,16.8585,32.4413,69.1915,25.7933,16.1174,25.583,30.1265,53.2156,30.3124,27.468700000000002,19.1229,28.0595,26.2106
2003,6.7765,0.4962,108.803,16.2536,31.2084,69.2553,26.021,15.6138,25.7774,31.298299999999998,53.2213,30.700400000000002,27.267799999999998,18.758200000000002,28.163400000000003,26.2103
2004,6.4721,0.4136,111.1347,16.0637,30.2333,73.4944,26.737599999999997,15.0114,25.510099999999998,30.966,53.7382,31.3905,27.154400000000003,18.609099999999998,28.1925,26.0917
2005,5.8984,0.4142,113.4478,15.2365,29.186400000000003,75.31280000000001,26.572599999999998,14.3499,25.9105,31.1922,54.5705,33.3942,26.9295,18.6199,28.9158,25.6997
2006,5.7656,0.4024,113.8792,14.5319,29.1587,72.8285,27.5597,14.4192,26.018,30.336299999999998,56.2025,35.1767,27.117,18.7613,29.1361,25.7394
2007,5.6407,0.3954,117.3757,13.5588,27.5518,71.5548,28.4952,14.5602,26.350900000000003,30.358,57.0921,37.281699999999994,27.4177,18.8122,29.608400000000003,25.7897
2008,5.5113,0.3518,111.5804,12.6872,26.4157,72.43639999999999,27.3997,13.8015,26.543400000000002,25.3255,58.107,38.6854,27.5735,18.8373,29.6678,24.9052
2009,5.2993999999999994,0.2874,93.7206,14.0539,25.437099999999997,67.0025,24.775,13.3883,25.7033,24.238400000000002,59.3095,35.898,26.9203,18.4767,30.8164,23.6278
2010,5.5152,0.30369999999999997,104.2388,13.7973,23.983900000000002,69.0882,25.2312,12.847,25.514200000000002,24.1152,59.5305,34.939699999999995,26.3057,18.246599999999997,32.0249,23.454
2011,5.2847,0.313,96.639,11.053700000000001,24.0933,70.5799,24.497400000000003,12.450899999999999,25.3838,23.11,59.528,35.6818,26.4227,18.5199,32.4962,22.9035
2012,5.6514,0.2811,97.66260000000001,9.962399999999999,24.4853,72.78880000000001,25.25,11.8581,25.354,22.442400000000003,59.3724,35.5459,26.0319,18.4868,34.132400000000004,23.0555
2013,5.556,0.3105,97.7985,10.6554,26.7792,74.271,25.3663,12.344700000000001,25.7175,23.0547,59.8888,36.5133,25.759400000000003,18.377,34.8179,22.8906
2014,5.427899999999999,0.3272,101.39439999999999,12.0903,28.4704,73.1882,26.752299999999998,12.648200000000001,26.0817,22.808,60.1284,37.1435,26.4455,18.860599999999998,34.9096,23.251099999999997
2015,5.918399999999999,0.31539999999999996,110.5853,13.924299999999999,29.362,74.26989999999999,27.1531,12.4048,26.7234,23.2082,60.6159,38.3867,26.5718,19.2054,36.2671,23.3768
2016,6.498,0.2865,111.0107,13.953700000000001,29.9215,74.0506,27.009900000000002,13.6742,26.8805,22.334799999999998,61.1693,39.8866,26.6964,19.396900000000002,37.7623,22.9177
2017,6.6165,0.3004,113.4798,14.280700000000001,31.1365,75.9033,27.7275,14.1765,26.560299999999998,22.5299,61.7846,40.1536,26.844900000000003,19.5443,38.0531,23.2873
2018,6.7809,0.282,113.5114,14.2055,31.0615,74.77969999999999,28.2988,13.8702,26.990099999999998,22.7848,61.9976,41.2247,27.2178,19.6408,39.3816,23.046200000000002
